,Features,AvgLossSyn
0,"['monthly_emissions', 'prcp']",0.009172807049824396
0,"['monthly_emissions', 'snow']",0.0034846661135686007
0,"['monthly_emissions', 'tavg']",0.0032829825776995256
0,"['monthly_emissions', 'gdp_rel_2017_interp']",0.028461540576843046
0,"['monthly_emissions', 'monthly_energy_prod']",0.004274623415674967
0,"['monthly_emissions', 'monthly_energy_use']",0.004303839628671163
0,"['monthly_emissions', 'monthly_energy_flow']",0.0043782015557155204
0,"['monthly_emissions', 'monthly_renew_pct']",0.006650392016029819
0,"['monthly_emissions', 'monthly_fossil_pct']",0.012363755094594753
0,"['monthly_emissions', 'monthly_pop_density']",0.0033891073969330218
0,"['monthly_emissions', 'monthly_emissions_sma']",0.004398055473735594
0,"['prcp', 'snow']",0.0026260807311259296
0,"['prcp', 'tavg']",0.0038501809368706365
0,"['prcp', 'gdp_rel_2017_interp']",0.015104945657183956
0,"['prcp', 'monthly_energy_prod']",0.0034834935910597483
0,"['prcp', 'monthly_energy_use']",0.004303257522776007
0,"['prcp', 'monthly_energy_flow']",0.003170939149479479
0,"['prcp', 'monthly_renew_pct']",0.0027066741918085613
0,"['prcp', 'monthly_fossil_pct']",0.004635950882647999
0,"['prcp', 'monthly_pop_density']",0.003950076336050742
0,"['prcp', 'monthly_emissions_sma']",0.004040157534058688
0,"['snow', 'tavg']",0.0027943733824227902
0,"['snow', 'gdp_rel_2017_interp']",0.010399035616783785
0,"['snow', 'monthly_energy_prod']",0.003746152334175711
0,"['snow', 'monthly_energy_use']",0.010857217312897948
0,"['snow', 'monthly_energy_flow']",0.002775587450691237
0,"['snow', 'monthly_renew_pct']",0.002557614882550457
0,"['snow', 'monthly_fossil_pct']",0.0059576802121254135
0,"['snow', 'monthly_pop_density']",0.0037323034769642456
0,"['snow', 'monthly_emissions_sma']",0.003218992718574787
0,"['tavg', 'gdp_rel_2017_interp']",0.010312780291092994
0,"['tavg', 'monthly_energy_prod']",0.003387361334854783
0,"['tavg', 'monthly_energy_use']",0.0034371366917834976
0,"['tavg', 'monthly_energy_flow']",0.0027201767473422687
0,"['tavg', 'monthly_renew_pct']",0.002401017333046313
0,"['tavg', 'monthly_fossil_pct']",0.005430546721256182
0,"['tavg', 'monthly_pop_density']",0.002416527026059387
0,"['tavg', 'monthly_emissions_sma']",0.0032861830605469254
0,"['gdp_rel_2017_interp', 'monthly_energy_prod']",0.003985903002288684
0,"['gdp_rel_2017_interp', 'monthly_energy_use']",0.011391901049857356
0,"['gdp_rel_2017_interp', 'monthly_energy_flow']",0.04913512845939761
0,"['gdp_rel_2017_interp', 'monthly_renew_pct']",0.011616180788409742
0,"['gdp_rel_2017_interp', 'monthly_fossil_pct']",0.01226884724514213
0,"['gdp_rel_2017_interp', 'monthly_pop_density']",0.05853831309982225
0,"['gdp_rel_2017_interp', 'monthly_emissions_sma']",0.02853432003864097
0,"['monthly_energy_prod', 'monthly_energy_use']",0.003880813912369364
0,"['monthly_energy_prod', 'monthly_energy_flow']",0.0032969442570063663
0,"['monthly_energy_prod', 'monthly_renew_pct']",0.004418145237103659
0,"['monthly_energy_prod', 'monthly_fossil_pct']",0.0028778416652843765
0,"['monthly_energy_prod', 'monthly_pop_density']",0.0030663641409097897
0,"['monthly_energy_prod', 'monthly_emissions_sma']",0.00438012549366012
0,"['monthly_energy_use', 'monthly_energy_flow']",0.0037832961353690326
0,"['monthly_energy_use', 'monthly_renew_pct']",0.01365366898773742
0,"['monthly_energy_use', 'monthly_fossil_pct']",0.005434939675973285
0,"['monthly_energy_use', 'monthly_pop_density']",0.011475758489726772
0,"['monthly_energy_use', 'monthly_emissions_sma']",0.004310196607034729
0,"['monthly_energy_flow', 'monthly_renew_pct']",0.003780890127600171
0,"['monthly_energy_flow', 'monthly_fossil_pct']",0.004715028216886313
0,"['monthly_energy_flow', 'monthly_pop_density']",0.003376389520497108
0,"['monthly_energy_flow', 'monthly_emissions_sma']",0.004383843861218903
0,"['monthly_renew_pct', 'monthly_fossil_pct']",0.0027418980872438757
0,"['monthly_renew_pct', 'monthly_pop_density']",0.004344781310767009
0,"['monthly_renew_pct', 'monthly_emissions_sma']",0.005179398669138779
0,"['monthly_fossil_pct', 'monthly_pop_density']",0.006760852447852742
0,"['monthly_fossil_pct', 'monthly_emissions_sma']",0.012378377111219474
0,"['monthly_pop_density', 'monthly_emissions_sma']",0.0033946036461235713
